"county_name","median_age","mean_savings","per_capita_income","percent_in_poverty","percent_veterans","percent_female","population_density","percent_in_nursing_homes","crime_index_PC","state","clinton_win"
"Autauga",31.7,57623,15768,15.2,10.74,51.41,60.4,2.36,457,"AL",FALSE
"Baldwin",35.5,84935,16954,13.6,9.73,51.34,66.5,5.4,282,"AL",FALSE
"Barbour",32.8,83656,15532,25,8.82,53.03,28.8,7.02,47,"AL",TRUE
"Blount",34.5,61249,14820,15,9.67,51.15,62.4,2.36,185,"AL",FALSE
"Bullock",31.7,75725,11120,33,7.08,50.76,17.6,2.91,141,"AL",TRUE
"Butler",33.5,75887,12015,27.1,9.48,53.25,28.1,7.98,266,"AL",TRUE
"Calhoun",32.7,76073,15162,18,11.95,51.66,190.8,4.81,560,"AL",FALSE
"Chambers",34.8,40498,13887,18.8,10.52,52.77,62.1,6.15,218,"AL",TRUE
"Cherokee",36.3,56386,13936,15.4,9.29,50.82,35.8,5.61,51,"AL",TRUE
"Chilton",34,52230,14036,18.6,9.48,51.41,47.8,3.58,296,"AL",FALSE
"Choctaw",32.9,81367,13423,25,9.94,52.54,17.6,4.16,29,"AL",TRUE
"Clarke",31.7,87444,13750,24.4,8.79,52.18,22.4,5.07,105,"AL",FALSE
"Cleburne",34.1,63458,14168,15.6,8.58,50.71,23.2,5,203,"AL",FALSE
"Coffee",34.1,79268,17318,14.9,10.4,50.99,60.5,5.72,357,"AL",FALSE
"Colbert",35.7,71629,15705,15.3,11.87,51.97,88,5.43,330,"AL",TRUE
"Conecuh",34.5,49065,12876,27.4,8.9,52.67,16.6,3.62,171,"AL",TRUE
"Covington",36.2,104307,13921,21.6,11.67,52.74,35.7,4.82,239,"AL",FALSE
"Crenshaw",35.9,77907,13247,22.8,8.99,52.61,22.1,10.07,165,"AL",TRUE
"Cullman",34.8,67879,15261,15.4,10.07,51.4,94.4,6.43,247,"AL",FALSE
"Dale",29.1,43261,14569,17.2,10.15,49.65,88.9,4.71,201,"AL",FALSE
"Dallas",31.1,68101,13574,34.2,10.31,54.38,48.9,5.48,794,"AL",TRUE
"Elmore",32.9,55540,14789,15.9,10.45,49.22,84.3,5.29,357,"AL",FALSE
"Escambia",33.9,90379,13184,24.4,11.08,50.63,38,2.72,161,"AL",FALSE
