"county_name","median_age","mean_savings","per_capita_income","percent_in_poverty","percent_veterans","percent_female","population_density","percent_in_nursing_homes","crime_index_PC","state","clinton_win"
"Autauga",31.7,57623,15768,15.2,10.74,51.41,60.4,2.36,457,"AL",FALSE
"Blount",34.5,61249,14820,15,9.67,51.15,62.4,2.36,185,"AL",FALSE
"Chilton",34,52230,14036,18.6,9.48,51.41,47.8,3.58,296,"AL",FALSE
"Clarke",31.7,87444,13750,24.4,8.79,52.18,22.4,5.07,105,"AL",FALSE
"Cleburne",34.1,63458,14168,15.6,8.58,50.71,23.2,5,203,"AL",FALSE
"Coffee",34.1,79268,17318,14.9,10.4,50.99,60.5,5.72,357,"AL",FALSE
"Covington",36.2,104307,13921,21.6,11.67,52.74,35.7,4.82,239,"AL",FALSE
"Cullman",34.8,67879,15261,15.4,10.07,51.4,94.4,6.43,247,"AL",FALSE
"Elmore",32.9,55540,14789,15.9,10.45,49.22,84.3,5.29,357,"AL",FALSE
"Escambia",33.9,90379,13184,24.4,11.08,50.63,38,2.72,161,"AL",FALSE
"Geneva",36.4,89634,15339,19.4,10.52,51.8,41.8,3.49,142,"AL",FALSE
"Henry",35.4,99412,14658,19.1,9.33,52.73,27.8,5.06,183,"AL",FALSE
"Houston",33.1,107388,17412,18,9.94,52.5,143.5,2.59,587,"AL",FALSE
"Jefferson",34.1,131030,19892,18.6,12.71,53.24,589.7,5.3,740,"AL",FALSE
"Lee",26.2,72622,14458,18.5,8.1,50.18,146.8,4.36,609,"AL",FALSE
"Limestone",32.8,43175,16384,14.6,8.31,50.09,99.8,3.88,189,"AL",FALSE
"Madison",31.9,69070,21029,12.9,10.5,50.74,310.9,2.48,722,"AL",FALSE
"Mobile",31.9,72077,15569,24.3,10.95,52.56,314.7,4.53,709,"AL",FALSE
"Monroe",31.4,76753,13997,21.6,8.75,51.67,23.4,5.38,164,"AL",FALSE
"Morgan",33.6,73523,18164,12.9,9.74,51.27,177.8,5.76,443,"AL",FALSE
"Pike",29.9,118415,14447,25.6,8.65,53.07,41.9,6.26,114,"AL",FALSE
"Randolph",34.9,76144,13064,18.5,9.96,51.74,34.8,6.83,139,"AL",FALSE
"St. Clair",33.5,37438,13994,16.2,9.17,49.65,83.4,4.44,157,"AL",FALSE
"Shelby",31.5,41609,20445,8.1,7.34,50.92,134.6,2.06,79,"AL",FALSE
"Talladega",33,50652,13299,22.3,9.74,51.69,101.3,5.26,95,"AL",FALSE
"Tuscaloosa",30.6,63784,16035,19.3,9.76,51.72,115.9,7.05,793,"AL",FALSE
"Winston",35.5,96317,13674,16.2,9.26,51.16,36.3,12.78,151,"AL",FALSE
"Maricopa",32,90041,19451,16,9.55,50.86,240.4,3.18,760,"AZ",FALSE
"Yuma",30.5,60526,13091,28,9.48,49.01,21.5,3.3,63,"AZ",FALSE
"Benton",35.9,97252,18124,9.8,10,51.18,125.2,5.76,345,"AR",FALSE
"Pope",31.8,83848,15627,16,9.9,50.59,59.2,8.75,309,"AR",FALSE
"Sebastian",33.7,110853,18033,15.4,13.35,52.14,189.2,7.7,626,"AR",FALSE
"Amador",37.9,92568,16612,9.5,10.46,44.53,53.8,5.64,243,"CA",FALSE
"Colusa",32.1,107363,19360,17.4,9.31,48.74,14.7,3.2,389,"CA",FALSE
"Inyo",39,73921,18100,12.8,15.95,51.03,1.8,4.67,322,"CA",FALSE
"Kern",29.7,44347,15963,21.8,8.55,49.4,72.2,2.43,648,"CA",FALSE
"Kings",28.1,43635,13191,22.5,6.83,45.78,76.9,2.57,437,"CA",FALSE
"Lassen",31.9,47613,14409,15.6,12.58,42.19,6.1,4.39,221,"CA",FALSE
"Madera",31.9,38324,15024,20.9,7.59,48.52,46.2,3.69,521,"CA",FALSE
"Modoc",37.2,74228,14472,18.2,11.78,48.96,2.5,6.12,231,"CA",FALSE
"Nevada",39.3,72156,18855,9.5,10.14,50.77,87,3.17,334,"CA",FALSE
"Orange",31.4,82212,24996,12.6,10.7,52.17,3147.8,2.49,571,"CA",FALSE
"Placer",35.1,73442,22748,8.5,9.72,50.56,133.2,3.64,463,"CA",FALSE
"Sutter",32.4,60863,18574,15.6,9.8,50.42,115.1,2.35,539,"CA",FALSE
"Tulare",29.2,54247,15342,28.2,7.65,49.96,68.7,2.87,632,"CA",FALSE
"Yuba",29.2,37114,13956,21.1,10.26,49.96,96.3,1.37,622,"CA",FALSE
"Arapahoe",32.4,59827,24963,6.7,10.83,51.16,523.7,2.83,654,"CO",FALSE
"Cheyenne",32,252148,22942,9.9,9.6,49.12,1.4,12,144,"CO",FALSE
"Crowley",34.2,33100,12074,30.9,9.75,37.53,5.1,12.5,20,"CO",FALSE
"Douglas",32.3,31325,26345,2.8,5.23,49.7,87,1,233,"CO",FALSE
"Elbert",33.8,20518,19050,6.1,8.99,49.91,5.8,2.96,144,"CO",FALSE
"El Paso",30.2,46370,18342,12.1,10.97,49.74,197.8,3.19,562,"CO",FALSE
"Fremont",37.7,55091,13374,17.4,13.29,48.04,21.5,17.94,373,"CO",FALSE
"Jefferson",33.3,49028,22563,6.2,12.05,50.53,589.1,5.37,494,"CO",FALSE
"Lincoln",36.9,141193,21016,16.2,11.91,42.7,1.8,17.39,187,"CO",FALSE
"Logan",34.7,90658,17526,14.8,12.93,51.14,9.4,9.83,444,"CO",FALSE
"Mesa",34.7,63968,16917,14.2,11.73,51.38,29.5,6.57,547,"CO",FALSE
"Moffat",31.8,50988,17826,11.7,15.6,49.28,2.4,4.31,389,"CO",FALSE
"Montezuma",33.3,89807,15127,17.1,10.67,51.21,9.6,3.74,488,"CO",FALSE
"Morgan",33.1,85987,18110,15.5,11.82,50.93,17.7,9.78,436,"CO",FALSE
"Phillips",38.5,116671,18999,11,12.22,52.54,6,9.51,66,"CO",FALSE
"Prowers",32,132074,15730,21.3,9.42,51.24,8,7.27,577,"CO",FALSE
